Log,LoggingLevel,Method
Using Java optimized cipher suites for Java version <*>,debug,<org.apache.zookeeper.common.X509Util: java.lang.String getDefaultCipherSuitesForJavaVersion(java.lang.String)>
"Could not parse java version <*>, using Java optimized cipher suites",debug,<org.apache.zookeeper.common.X509Util: java.lang.String getDefaultCipherSuitesForJavaVersion(java.lang.String)>
Unable to closeSession() for session: x<*>,warn,<org.apache.zookeeper.server.ConnectionBean: void terminateSession()>
connectToLeader exceeded on retries.,error,<org.apache.zookeeper.server.quorum.Learner$LeaderConnector: java.net.Socket connectToLeader()>
"Unexpected exception, connectToLeader exceeded. tries=<*>, remaining init limit=<*>, connecting to <*>",error,<org.apache.zookeeper.server.quorum.Learner$LeaderConnector: java.net.Socket connectToLeader()>
"Unexpected exception, retries exceeded. tries=<*>, remaining init limit=<*>, connecting to <*>",error,<org.apache.zookeeper.server.quorum.Learner$LeaderConnector: java.net.Socket connectToLeader()>
"Unexpected exception, tries=<*>, remaining init limit=<*>, connecting to <*>",warn,<org.apache.zookeeper.server.quorum.Learner$LeaderConnector: java.net.Socket connectToLeader()>
creating ssl handler for session <*>,debug,"<org.apache.zookeeper.server.NettyServerCnxnFactory$DualModeSslHandler: io.netty.handler.ssl.SslHandler newSslHandler(io.netty.channel.ChannelHandlerContext,io.netty.handler.ssl.SslContext)>"
zookeeper.snapSizeLimitInKb set to a non-positive value <*>; disabling feature,info,<org.apache.zookeeper.server.ZooKeeperServer: long getSnapSizeInBytes()>
"Dynamic reconfig is disabled, we don\'t store the last seen config.",info,"<org.apache.zookeeper.server.quorum.QuorumPeer: void setLastSeenQuorumVerifier(org.apache.zookeeper.server.quorum.flexible.QuorumVerifier,boolean)>"
"setLastSeenQuorumVerifier called with stale config , <*>, . Current version: , <*>, ",error,"<org.apache.zookeeper.server.quorum.QuorumPeer: void setLastSeenQuorumVerifier(org.apache.zookeeper.server.quorum.flexible.QuorumVerifier,boolean)>"
Error writing next dynamic config file to disk,error,"<org.apache.zookeeper.server.quorum.QuorumPeer: void setLastSeenQuorumVerifier(org.apache.zookeeper.server.quorum.flexible.QuorumVerifier,boolean)>"
Error while calling watcher.,error,<org.apache.zookeeper.ClientCnxn$EventThread: void processEvent(java.lang.Object)>
Somehow a null cb got to EventThread!,warn,<org.apache.zookeeper.ClientCnxn$EventThread: void processEvent(java.lang.Object)>
Unexpected throwable,error,<org.apache.zookeeper.ClientCnxn$EventThread: void processEvent(java.lang.Object)>
Trying to close listeners: <*>,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: void close()>
Failed to audit log request <*>,error,"<org.apache.zookeeper.audit.AuditHelper: void addAuditLog(org.apache.zookeeper.server.Request,org.apache.zookeeper.server.DataTree$ProcessTxnResult,boolean)>"
There is a connection already for server <*>,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void connectOne(long)>
"Server <*> knows <*> already, it is in the lastCommittedView",debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void connectOne(long)>
"Server <*> knows <*> already, it is in the lastProposedView",debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void connectOne(long)>
Invalid server id: <*> ,warn,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void connectOne(long)>
"Sending Notification: <*> (n.leader), x<*> (n.zxid), x<*> (n.round), <*> (recipient), <*> (myid), x<*> (n.peerEpoch) ",debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: void sendNotifications()>
Zxid outstanding x<*> is less than current x<*>,warn,<org.apache.zookeeper.server.ZooKeeperServer: org.apache.zookeeper.server.DataTree$ProcessTxnResult processTxn(org.apache.zookeeper.server.Request)>
processing queue x<*> queuedBuffer <*>,trace,<org.apache.zookeeper.server.NettyServerCnxn: void processQueuedBuffer()>
"Processed queue - channel closed, dropping remaining bytes",debug,<org.apache.zookeeper.server.NettyServerCnxn: void processQueuedBuffer()>
Processed queue - no bytes remaining,debug,<org.apache.zookeeper.server.NettyServerCnxn: void processQueuedBuffer()>
Processed queue - bytes remaining,debug,<org.apache.zookeeper.server.NettyServerCnxn: void processQueuedBuffer()>
queue empty,debug,<org.apache.zookeeper.server.NettyServerCnxn: void processQueuedBuffer()>
"KeyAuthenticationProvider handleAuthentication (<*>, <*>) -> FAIL.\n",debug,"<org.apache.zookeeper.server.auth.KeyAuthenticationProvider: org.apache.zookeeper.KeeperException$Code handleAuthentication(org.apache.zookeeper.server.auth.ServerAuthenticationProvider$ServerObjs,byte)>"
KeyAuthenticationProvider handleAuthentication -> OK.\n,debug,"<org.apache.zookeeper.server.auth.KeyAuthenticationProvider: org.apache.zookeeper.KeeperException$Code handleAuthentication(org.apache.zookeeper.server.auth.ServerAuthenticationProvider$ServerObjs,byte)>"
Shutting down,info,<org.apache.zookeeper.server.quorum.Leader$ToBeAppliedRequestProcessor: void shutdown()>
Unexpected extra paths under session <*> which are not in txn x<*>,warn,"<org.apache.zookeeper.server.DataTree: void killSession(long,long,java.util.Set,java.util.List)>"
leaderConnectDelayDuringRetryMs: <*>,info,<org.apache.zookeeper.server.quorum.Learner: void <clinit>()>
TCP NoDelay set to: <*>,info,<org.apache.zookeeper.server.quorum.Learner: void <clinit>()>
validation of destination address for sid <*> is skipped (it is already running),debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager$SendWorker: void asyncValidateIfSocketIsStillReachable()>
autopurge.snapRetainCount set to <*>,info,"<org.apache.zookeeper.server.DatadirCleanupManager: void <init>(java.io.File,java.io.File,int,int)>"
autopurge.purgeInterval set to <*>,info,"<org.apache.zookeeper.server.DatadirCleanupManager: void <init>(java.io.File,java.io.File,int,int)>"
Failed to register with JMX,warn,<org.apache.zookeeper.server.quorum.ReadOnlyZooKeeperServer: void registerJMX()>
Unexpected interruption,error,<org.apache.zookeeper.server.RequestThrottler: void run()>
RequestThrottler shutdown. Dropped <*> requests,info,<org.apache.zookeeper.server.RequestThrottler: void run()>
Failed to start ControllerService.,error,<org.apache.zookeeper.server.controller.ControllerService: void run()>
Unexpected exception,error,<org.apache.zookeeper.ZooKeeper: java.util.List validatePath(java.lang.Iterable)>
Unexpected exception,error,<org.apache.zookeeper.ZooKeeper: java.util.List validatePath(java.lang.Iterable)>
Shutting down connection manager,debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: void shutdown()>
Shutting down messenger,debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: void shutdown()>
FLE is down,debug,<org.apache.zookeeper.server.quorum.FastLeaderElection: void shutdown()>
Election port bind maximum retries is <*>,info,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void <init>(org.apache.zookeeper.server.quorum.QuorumCnxManager)>
\'<*>\' contains invalid value: <*>(must be >= ). Use default value of <*> instead.,info,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void <init>(org.apache.zookeeper.server.quorum.QuorumCnxManager)>
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void ruok(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void ruok(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void ruok(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void ruok(java.lang.String,int)>"
Missing node for stat <*>,error,"<org.apache.zookeeper.server.DataTree: void updateQuotaStat(java.lang.String,long,int)>"
Sync handling of connection request received from: <*>,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void receiveConnection(java.net.Socket)>
"Exception handling connection, addr: <*>, closing server connection",error,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void receiveConnection(java.net.Socket)>
Exception details: ,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void receiveConnection(java.net.Socket)>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.LeaderZooKeeperServer: void unregisterJMX()>
Group weight: <*>,debug,<org.apache.zookeeper.server.quorum.flexible.QuorumHierarchical: void computeGroupWeight()>
"One zero-weight group: , <*>",debug,<org.apache.zookeeper.server.quorum.flexible.QuorumHierarchical: void computeGroupWeight()>
FOLLOWING - LEADER ELECTION TOOK - <*> <*>,info,<org.apache.zookeeper.server.quorum.Follower: void followLeader()>
"Proposed leader epoch , <*>,  is less than our accepted epoch , <*>, ",error,<org.apache.zookeeper.server.quorum.Follower: void followLeader()>
Starting ObserverMaster,info,<org.apache.zookeeper.server.quorum.Follower: void followLeader()>
Exception when following the leader,warn,<org.apache.zookeeper.server.quorum.Follower: void followLeader()>
Disconnected from leader (with address: <*>). Was connected for <*>ms. Sync state: <*>,info,<org.apache.zookeeper.server.quorum.Follower: void followLeader()>
,dumpToLog,<org.apache.zookeeper.server.quorum.Follower: void followLeader()>
Disconnected from leader (with address: <*>). Was connected for <*>ms. Sync state: <*>,info,<org.apache.zookeeper.server.quorum.Follower: void followLeader()>
,dumpToLog,<org.apache.zookeeper.server.quorum.Follower: void followLeader()>
deleting <*> failed,warn,<org.apache.zookeeper.server.quorum.QuorumPeerConfig: void deleteFile(java.lang.String)>
testableCloseSocket() called,info,<org.apache.zookeeper.ClientCnxnSocketNIO: void testableCloseSocket()>
Not expecting a sync.,warn,<org.apache.zookeeper.server.quorum.ObserverZooKeeperServer: void sync()>
Oracle indicates to follow,info,"<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote receivedLeadingNotification(java.util.Map,java.util.Map,org.apache.zookeeper.server.quorum.SyncedLearnerTracker,org.apache.zookeeper.server.quorum.FastLeaderElection$Notification)>"
Oracle indicates not to follow,info,"<org.apache.zookeeper.server.quorum.FastLeaderElection: org.apache.zookeeper.server.quorum.Vote receivedLeadingNotification(java.util.Map,java.util.Map,org.apache.zookeeper.server.quorum.SyncedLearnerTracker,org.apache.zookeeper.server.quorum.FastLeaderElection$Notification)>"
,<init>,<org.apache.zookeeper.server.persistence.TxnLogToolkit: java.io.File loadTxnFile(java.lang.String)>
Reading configuration from: <*>,info,<org.apache.zookeeper.common.ZKConfig: void addConfiguration(java.io.File)>
Error while configuration from: <*>,error,<org.apache.zookeeper.common.ZKConfig: void addConfiguration(java.io.File)>
Using checkIntervalMs=<*> maxPerMinute=<*> maxNeverUsedIntervalMs=<*>,info,"<org.apache.zookeeper.server.ContainerManager: void <init>(org.apache.zookeeper.server.ZKDatabase,org.apache.zookeeper.server.RequestProcessor,int,int,long)>"
"checkQuota: lastPrefix=<*>, bytesDiff=<*>, countDiff=<*>",debug,"<org.apache.zookeeper.server.ZooKeeperServer: void checkQuota(java.lang.String,long,long,java.lang.String)>"
Missing limit node for quota <*>,error,"<org.apache.zookeeper.server.ZooKeeperServer: void checkQuota(java.lang.String,long,long,java.lang.String)>"
Missing node for stat <*>,error,"<org.apache.zookeeper.server.ZooKeeperServer: void checkQuota(java.lang.String,long,long,java.lang.String)>"
"Quota exceeded: , lastPrefix,  current count=, newCount, , , <*>, CountLimit=, countLimit, , ",rateLimitLog,"<org.apache.zookeeper.server.ZooKeeperServer: void checkQuota(java.lang.String,long,long,java.lang.String)>"
"Quota exceeded: , lastPrefix,  current bytes=, newCount, , , <*>, ByteLimit=, countLimit, , ",rateLimitLog,"<org.apache.zookeeper.server.ZooKeeperServer: void checkQuota(java.lang.String,long,long,java.lang.String)>"
Zookeeper Server failed to create a SaslServer to interact with a client during session initiation,error,<org.apache.zookeeper.util.SecurityUtils$2: javax.security.sasl.SaslServer run()>
Unexpected exception,warn,<org.apache.zookeeper.server.SyncRequestProcessor$1: void run()>
tickTime set to <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setTickTime(int)>
<*> will use DIGEST-MD as SASL mechanism.,info,"<org.apache.zookeeper.util.SecurityUtils: javax.security.sasl.SaslClient createSaslClient(javax.security.auth.Subject,java.lang.String,java.lang.String,java.lang.String,org.slf4j.Logger,java.lang.String)>"
Added private credential to <*> principal name: \'<*>\',debug,"<org.apache.zookeeper.util.SecurityUtils: javax.security.sasl.SaslClient createSaslClient(javax.security.auth.Subject,java.lang.String,java.lang.String,java.lang.String,org.slf4j.Logger,java.lang.String)>"
Cannot add private credential to subject; authentication at the server may fail,warn,"<org.apache.zookeeper.util.SecurityUtils: javax.security.sasl.SaslClient createSaslClient(javax.security.auth.Subject,java.lang.String,java.lang.String,java.lang.String,org.slf4j.Logger,java.lang.String)>"
Exception while trying to create SASL client,error,"<org.apache.zookeeper.util.SecurityUtils: javax.security.sasl.SaslClient createSaslClient(javax.security.auth.Subject,java.lang.String,java.lang.String,java.lang.String,org.slf4j.Logger,java.lang.String)>"
Problem starting AdminServer,warn,<org.apache.zookeeper.server.quorum.QuorumPeer: void start()>
future isn\'t success.,warn,<org.apache.zookeeper.ClientCnxnSocketNetty$1: void operationComplete(io.netty.channel.ChannelFuture)>
connect attempt cancelled,info,<org.apache.zookeeper.ClientCnxnSocketNetty$1: void operationComplete(io.netty.channel.ChannelFuture)>
channel is connected: <*>,info,<org.apache.zookeeper.ClientCnxnSocketNetty$1: void operationComplete(io.netty.channel.ChannelFuture)>
Close called on already closed client,debug,<org.apache.zookeeper.ZooKeeper: void close()>
"Closing session: x, <*>, ",debug,<org.apache.zookeeper.ZooKeeper: void close()>
Ignoring unexpected exception during close,debug,<org.apache.zookeeper.ZooKeeper: void close()>
Session: x<*> closed,info,<org.apache.zookeeper.ZooKeeper: void close()>
Checking session x<*>,debug,"<org.apache.zookeeper.server.SessionTrackerImpl: void checkSession(long,java.lang.Object)>"
"Listener thread started, myId: <*>",debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void run()>
Error closing server socket,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void run()>
Interrupted while sleeping. Ignoring exception,error,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void run()>
Error closing server socket,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void run()>
Error closing server socket,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void run()>
Leaving listener,info,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void run()>
"As I\'m leaving the listener thread, I won\'t be able to participate in leader election any longer: <*>",error,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener: void run()>
Server environment:,logEnv,<org.apache.zookeeper.server.ZooKeeperServer: void <clinit>()>
"<*>==\yes\, ACL checks will be skipped",info,<org.apache.zookeeper.server.ZooKeeperServer: void <clinit>()>
"<*> = <*>, Quota Enforce enables",info,<org.apache.zookeeper.server.ZooKeeperServer: void <clinit>()>
"Buffer starting size (, <*>, ) must be greater than or equal to . Configure with \-Dzookeeper.intBufferStartingSizeBytes=<size>\ , ",error,<org.apache.zookeeper.server.ZooKeeperServer: void <clinit>()>
FollowerRequestProcessor exited loop!,info,<org.apache.zookeeper.server.quorum.FollowerRequestProcessor: void run()>
Creating TLS-enabled quorum server socket,info,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: java.net.ServerSocket createNewServerSocket()>
Creating TLS-only quorum server socket,info,<org.apache.zookeeper.server.quorum.QuorumCnxManager$Listener$ListenerHandler: java.net.ServerSocket createNewServerSocket()>
"Have quorum of supporters, sids: <*>; starting up and setting last processed zxid: x<*>",info,<org.apache.zookeeper.server.quorum.Leader: void startZkServer()>
"This leader is not the designated leader, it will be initialized with allowedToCommit = false",warn,<org.apache.zookeeper.server.quorum.Leader: void startZkServer()>
"Dynamic reconfig feature is disabled, skip designatedLeader calculation and reconfig processing.",info,<org.apache.zookeeper.server.quorum.Leader: void startZkServer()>
minSessionTimeout set to <*> ms,info,<org.apache.zookeeper.server.ZooKeeperServer: void setMinSessionTimeout(int)>
not all the LearnerCnxAcceptorHandler terminated properly,error,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor: void run()>
Interrupted while terminating LearnerCnxAcceptor.,error,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor: void run()>
Interrupted while sleeping in LearnerCnxAcceptor.,error,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor: void run()>
not all the LearnerCnxAcceptorHandler terminated properly,error,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor: void run()>
Interrupted while terminating LearnerCnxAcceptor.,error,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor: void run()>
not all the LearnerCnxAcceptorHandler terminated properly,error,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor: void run()>
Interrupted while terminating LearnerCnxAcceptor.,error,<org.apache.zookeeper.server.quorum.Leader$LearnerCnxAcceptor: void run()>
getData failed,error,<org.apache.zookeeper.server.auth.KeyAuthenticationProvider: byte getKey(org.apache.zookeeper.server.ZooKeeperServer)>
Oracle says:<*>,debug,<org.apache.zookeeper.server.quorum.flexible.QuorumOracleMaj: boolean askOracle()>
"Oracle is not set, return false",error,<org.apache.zookeeper.server.quorum.flexible.QuorumOracleMaj: boolean askOracle()>
enabling cert file reloading,info,<org.apache.zookeeper.common.X509Util: void enableCertFileReloading()>
Failed to register with JMX,warn,<org.apache.zookeeper.server.quorum.LeaderZooKeeperServer: void registerJMX()>
"Configuring NIO connection handler with , <*>, s sessionless connection timeout, , <*>,  selector thread(s), , <*>,  worker threads, and , <*>, ",info,"<org.apache.zookeeper.server.NIOServerCnxnFactory: void configure(java.net.InetSocketAddress,int,int,boolean)>"
binding to port <*>,info,"<org.apache.zookeeper.server.NIOServerCnxnFactory: void configure(java.net.InetSocketAddress,int,int,boolean)>"
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.quorum.ReadOnlyZooKeeperServer: void unregisterJMX(org.apache.zookeeper.server.ZooKeeperServer)>
Failed to register with JMX,warn,"<org.apache.zookeeper.server.quorum.LearnerZooKeeperServer: void registerJMX(org.apache.zookeeper.server.ZooKeeperServerBean,org.apache.zookeeper.server.quorum.LocalPeerBean)>"
Failed to register with JMX,warn,"<org.apache.zookeeper.server.quorum.LearnerZooKeeperServer: void registerJMX(org.apache.zookeeper.server.ZooKeeperServerBean,org.apache.zookeeper.server.quorum.LocalPeerBean)>"
"Refusing global session reconnection in RO mode , <*>, ",info,"<org.apache.zookeeper.server.quorum.ReadOnlyZooKeeperServer: void validateSession(org.apache.zookeeper.server.ServerCnxn,long)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void getTraceMask(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void getTraceMask(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void getTraceMask(java.lang.String,int)>"
Unexpected exception,warn,"<org.apache.zookeeper.ServerAdminClient: void getTraceMask(java.lang.String,int)>"
Could not retrieve login configuration,debug,<org.apache.zookeeper.client.ZooKeeperSaslClient: boolean clientTunneledAuthenticationInProgress()>
Suggested leader: <*>,warn,"<org.apache.zookeeper.server.quorum.QuorumPeer: boolean updateVote(long,long)>"
"Zookeeper client cannot authenticate using the , <*>,  section of the supplied JAAS configuration: \', <*>, \' because of a RuntimeException: , runtimeException, ",<init>,"<org.apache.zookeeper.client.ZooKeeperSaslClient: void <init>(java.lang.String,org.apache.zookeeper.client.ZKClientConfig)>"
"Client cannot SASL-authenticate because the specified JAAS configuration section \', <*>, \' could not be found., ",<init>,"<org.apache.zookeeper.client.ZooKeeperSaslClient: void <init>(java.lang.String,org.apache.zookeeper.client.ZKClientConfig)>"
"Zookeeper client cannot authenticate using the \', <*>, \' section of the supplied JAAS configuration: \', <*>, \' because of a RuntimeException: , runtimeException, ",<init>,"<org.apache.zookeeper.client.ZooKeeperSaslClient: void <init>(java.lang.String,org.apache.zookeeper.client.ZKClientConfig)>"
"No JAAS configuration section named \', <*>, \' was found in specified JAAS configuration file: \', <*>, \'., ",<init>,"<org.apache.zookeeper.client.ZooKeeperSaslClient: void <init>(java.lang.String,org.apache.zookeeper.client.ZKClientConfig)>"
<*> response cache size is initialized with value <*>.,info,"<org.apache.zookeeper.server.ResponseCache: void <init>(int,java.lang.String)>"
Ignoring exception during close,warn,<org.apache.zookeeper.server.persistence.FileTxnLog: org.apache.zookeeper.server.persistence.FileHeader readHeader(java.io.File)>
Ignoring exception during close,warn,<org.apache.zookeeper.server.persistence.FileTxnLog: org.apache.zookeeper.server.persistence.FileHeader readHeader(java.io.File)>
ignoring exception during selectionkey cancel,debug,<org.apache.zookeeper.server.NIOServerCnxnFactory$AbstractSelectThread: void cleanupSelectionKey(java.nio.channels.SelectionKey)>
Shutting down,info,<org.apache.zookeeper.server.quorum.ObserverRequestProcessor: void shutdown()>
Got ping response for session id: x<*> after <*>ms.,debug,<org.apache.zookeeper.ClientCnxn$SendThread: void readResponse(java.nio.ByteBuffer)>
Got auth session id: x<*>,debug,<org.apache.zookeeper.ClientCnxn$SendThread: void readResponse(java.nio.ByteBuffer)>
Got notification session id: x<*>,debug,<org.apache.zookeeper.ClientCnxn$SendThread: void readResponse(java.nio.ByteBuffer)>
Got server path <*> which is too short for chroot path <*>.,warn,<org.apache.zookeeper.ClientCnxn$SendThread: void readResponse(java.nio.ByteBuffer)>
Got <*> for session id x<*>,debug,<org.apache.zookeeper.ClientCnxn$SendThread: void readResponse(java.nio.ByteBuffer)>
"Reading reply session id: x<*>, packet:: <*>",debug,<org.apache.zookeeper.ClientCnxn$SendThread: void readResponse(java.nio.ByteBuffer)>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.ZooKeeperServer: void unregisterJMX()>
Failed to unregister with JMX,warn,<org.apache.zookeeper.server.ZooKeeperServer: void unregisterJMX()>
Unable to truncate Txn log,error,<org.apache.zookeeper.server.persistence.FileTxnSnapLog: boolean truncateLog(long)>
Ignoring accept exception (maybe shutting down),debug,<org.apache.zookeeper.server.quorum.ObserverMaster: void run()>
Ignoring accept exception (maybe client closed),debug,<org.apache.zookeeper.server.quorum.ObserverMaster: void run()>
Async handling of connection request received from: <*>,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void receiveConnectionAsync(java.net.Socket)>
"Exception handling connection, addr: <*>, closing server connection",error,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void receiveConnectionAsync(java.net.Socket)>
Exception details: ,debug,<org.apache.zookeeper.server.quorum.QuorumCnxManager: void receiveConnectionAsync(java.net.Socket)>
No trust manager available to authenticate session x<*>,error,"<org.apache.zookeeper.server.auth.X509AuthenticationProvider: org.apache.zookeeper.KeeperException$Code handleAuthentication(org.apache.zookeeper.server.ServerCnxn,byte)>"
Failed to trust certificate for session x<*>,error,"<org.apache.zookeeper.server.auth.X509AuthenticationProvider: org.apache.zookeeper.KeeperException$Code handleAuthentication(org.apache.zookeeper.server.ServerCnxn,byte)>"
Authenticated Id \'<*>\' as super user,info,"<org.apache.zookeeper.server.auth.X509AuthenticationProvider: org.apache.zookeeper.KeeperException$Code handleAuthentication(org.apache.zookeeper.server.ServerCnxn,byte)>"
Authenticated Id \'<*>\' for Scheme \'<*>\',info,"<org.apache.zookeeper.server.auth.X509AuthenticationProvider: org.apache.zookeeper.KeeperException$Code handleAuthentication(org.apache.zookeeper.server.ServerCnxn,byte)>"
"Unable to set socket linger to , socket close may stall in CLOSE_WAIT",warn,<org.apache.zookeeper.server.NIOServerCnxnFactory$AbstractSelectThread: void fastCloseSock(java.nio.channels.SocketChannel)>
JAAS loginContext is: <*>,debug,"<org.apache.zookeeper.client.ZooKeeperSaslClient: javax.security.sasl.SaslClient createSaslClient(java.lang.String,java.lang.String)>"
Exception while trying to create SASL client.,error,"<org.apache.zookeeper.client.ZooKeeperSaslClient: javax.security.sasl.SaslClient createSaslClient(java.lang.String,java.lang.String)>"
not all the LeaderConnector terminated properly,error,"<org.apache.zookeeper.server.quorum.Learner: void connectToLeader(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.String)>"
Interrupted while terminating LeaderConnector executor.,error,"<org.apache.zookeeper.server.quorum.Learner: void connectToLeader(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.String)>"
Interrupted while trying to connect to Leader,warn,"<org.apache.zookeeper.server.quorum.Learner: void connectToLeader(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.String)>"
not all the LeaderConnector terminated properly,error,"<org.apache.zookeeper.server.quorum.Learner: void connectToLeader(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.String)>"
Interrupted while terminating LeaderConnector executor.,error,"<org.apache.zookeeper.server.quorum.Learner: void connectToLeader(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.String)>"
not all the LeaderConnector terminated properly,error,"<org.apache.zookeeper.server.quorum.Learner: void connectToLeader(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.String)>"
Interrupted while terminating LeaderConnector executor.,error,"<org.apache.zookeeper.server.quorum.Learner: void connectToLeader(org.apache.zookeeper.server.quorum.MultipleAddresses,java.lang.String)>"
CommandListener server host: <*> with port: <*>,info,"<org.apache.zookeeper.server.controller.CommandListener: void <init>(org.apache.zookeeper.server.controller.ZooKeeperServerController,org.apache.zookeeper.server.controller.ControllerServerConfig)>"
Failed to instantiate CommandListener.,error,"<org.apache.zookeeper.server.controller.CommandListener: void <init>(org.apache.zookeeper.server.controller.ZooKeeperServerController,org.apache.zookeeper.server.controller.ControllerServerConfig)>"
Setup cipher suites for <*> socket: <*>,debug,"<org.apache.zookeeper.common.SSLContextAndOptions: void configureSslParameters(javax.net.ssl.SSLParameters,boolean)>"
Setup enabled protocols for <*> socket: <*>,debug,"<org.apache.zookeeper.common.SSLContextAndOptions: void configureSslParameters(javax.net.ssl.SSLParameters,boolean)>"
Current zxid <*> is <= <*> for <*>,warn,"<org.apache.zookeeper.server.persistence.FileTxnLog: boolean append(org.apache.zookeeper.txn.TxnHeader,org.apache.jute.Record,org.apache.zookeeper.txn.TxnDigest)>"
Creating new log file: <*>,info,"<org.apache.zookeeper.server.persistence.FileTxnLog: boolean append(org.apache.zookeeper.txn.TxnHeader,org.apache.jute.Record,org.apache.zookeeper.txn.TxnDigest)>"
Registering with watch service: <*>,debug,"<org.apache.zookeeper.common.FileChangeWatcher: void <init>(java.nio.file.Path,java.util.function.Consumer)>"
ZK server starting,info,<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl$4: void run()>
ZK server died. Requesting stop on JVM,info,<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl$4: void run()>
error during server lifecycle,error,<org.apache.zookeeper.server.embedded.ZooKeeperServerEmbeddedImpl$4: void run()>
<*> set to <*>,info,<org.apache.zookeeper.server.quorum.QuorumPeer: void setQuorumLearnerSaslRequired(boolean)>
Exception caught,warn,"<org.apache.zookeeper.server.NettyServerCnxnFactory$CnxnChannelHandler: void exceptionCaught(io.netty.channel.ChannelHandlerContext,java.lang.Throwable)>"
Closing <*>,debug,"<org.apache.zookeeper.server.NettyServerCnxnFactory$CnxnChannelHandler: void exceptionCaught(io.netty.channel.ChannelHandlerContext,java.lang.Throwable)>"
Asynchronously closing socket to learner <*>.,info,<org.apache.zookeeper.server.quorum.LearnerHandler: void closeSocket()>
Synchronously closing socket to learner <*>.,info,<org.apache.zookeeper.server.quorum.LearnerHandler: void closeSocket()>
Fatal error starting quorum peer,error,<org.apache.zookeeper.server.controller.ZooKeeperServerController: void run()>
Unexpected exception,warn,<org.apache.zookeeper.ClientCnxn$Packet: void createBB()>
Unable to read txnlog from disk,error,<org.apache.zookeeper.server.TxnLogProposalIterator: org.apache.zookeeper.server.quorum.Leader$Proposal next()>
Not expecting a sync.,warn,<org.apache.zookeeper.server.quorum.FollowerZooKeeperServer: void sync()>
clientPortListenBacklog set to <*>,info,<org.apache.zookeeper.server.ZooKeeperServer: void setClientPortListenBacklog(int)>
